Year,Month,FlightDate,Reporting_Airline,Origin,OriginCityName,Dest,DestCityName,DepDelay,ArrDelay,Cancelled,Diverted,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2015,1,2015-01-13,EV,ATL,"Atlanta, GA",MYR,"Myrtle Beach, SC",-4.0,19.0,0.0,0.0,317.0,0.0,0.0,19.0,0.0,0.0
2015,1,2015-01-12,EV,LEX,"Lexington, KY",ATL,"Atlanta, GA",84.0,88.0,0.0,0.0,304.0,84.0,0.0,4.0,0.0,0.0
2015,1,2015-01-17,DL,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",0.0,-22.0,0.0,0.0,1947.0,,,,,
2015,1,2015-01-13,DL,STL,"St. Louis, MO",ATL,"Atlanta, GA",-7.0,-5.0,0.0,0.0,484.0,,,,,
2015,1,2015-01-27,DL,ATL,"Atlanta, GA",MDW,"Chicago, IL",-2.0,12.0,0.0,0.0,591.0,,,,,
2015,1,2015-01-10,DL,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",51.0,52.0,0.0,0.0,1947.0,0.0,51.0,1.0,0.0,0.0
2015,1,2015-01-08,AS,SEA,"Seattle, WA",ATL,"Atlanta, GA",10.0,-1.0,0.0,0.0,2182.0,,,,,
2015,1,2015-01-13,DL,ATL,"Atlanta, GA",ORD,"Chicago, IL",-2.0,-24.0,0.0,0.0,606.0,,,,,
2015,1,2015-01-15,DL,ATL,"Atlanta, GA",XNA,"Fayetteville, AR",27.0,18.0,0.0,0.0,589.0,0.0,0.0,0.0,0.0,18.0
2015,1,2015-01-25,EV,MGM,"Montgomery, AL",ATL,"Atlanta, GA",-8.0,-12.0,0.0,0.0,147.0,,,,,
2015,1,2015-01-14,EV,PHF,"Newport News/Williamsburg, VA",ATL,"Atlanta, GA",132.0,165.0,0.0,0.0,508.0,132.0,0.0,33.0,0.0,0.0
2015,1,2015-01-27,DL,ATL,"Atlanta, GA",GSO,"Greensboro/High Point, NC",-8.0,-16.0,0.0,0.0,306.0,,,,,
2015,1,2015-01-27,DL,OMA,"Omaha, NE",ATL,"Atlanta, GA",-10.0,-17.0,0.0,0.0,821.0,,,,,
2015,1,2015-01-15,DL,CHA,"Chattanooga, TN",ATL,"Atlanta, GA",-4.0,-2.0,0.0,0.0,106.0,,,,,
2015,1,2015-01-20,DL,MSP,"Minneapolis, MN",ATL,"Atlanta, GA",-4.0,-9.0,0.0,0.0,907.0,,,,,
2015,1,2015-01-21,EV,DHN,"Dothan, AL",ATL,"Atlanta, GA",26.0,75.0,0.0,0.0,170.0,26.0,0.0,49.0,0.0,0.0
2015,1,2015-01-12,EV,XNA,"Fayetteville, AR",ATL,"Atlanta, GA",164.0,172.0,0.0,0.0,589.0,155.0,0.0,8.0,0.0,9.0
2015,1,2015-01-26,DL,ATL,"Atlanta, GA",JAX,"Jacksonville, FL",11.0,5.0,0.0,0.0,270.0,,,,,
2015,1,2015-01-07,DL,ATL,"Atlanta, GA",SDF,"Louisville, KY",10.0,5.0,0.0,0.0,321.0,,,,,
2015,1,2015-01-08,EV,MOB,"Mobile, AL",ATL,"Atlanta, GA",-9.0,-8.0,0.0,0.0,302.0,,,,,
2015,1,2015-01-05,DL,ATL,"Atlanta, GA",MKE,"Milwaukee, WI",-2.0,-11.0,0.0,0.0,669.0,,,,,
2015,1,2015-01-07,DL,ATL,"Atlanta, GA",PNS,"Pensacola, FL",-4.0,-9.0,0.0,0.0,271.0,,,,,
